outcome,month,MMWR week,Age group,Vaccinated with outcome,Unvaccinated with outcome,Crude vax IR,Crude unvax IR
case,APR 2021,202114,12-17,8,30785,21.68785751,175.3484912
case,APR 2021,202114,18-29,671,76736,26.38519315,246.808299
case,APR 2021,202114,30-49,1837,98436,24.72940019,239.653115
case,APR 2021,202114,50-64,1547,50324,20.66125637,219.2902663
case,APR 2021,202114,65-79,1655,14880,11.494573,193.8529339
case,APR 2021,202114,80+,792,3757,15.95820884,148.8164792
case,APR 2021,202115,12-17,5,30598,9.171114657,176.9186345
case,APR 2021,202115,18-29,744,70484,23.53776387,241.4616067
case,APR 2021,202115,30-49,2101,91823,23.09463999,241.8298256
case,APR 2021,202115,50-64,1900,45460,19.73226843,218.341681
case,APR 2021,202115,65-79,1962,14128,11.84981394,200.990041
case,APR 2021,202115,80+,931,3425,17.20744752,143.7010079
case,APR 2021,202116,12-17,8,26222,9.427847505,154.1157341
case,APR 2021,202116,18-29,891,54626,21.65137017,197.5974185
case,APR 2021,202116,30-49,2409,74591,21.13216101,209.9922187
case,APR 2021,202116,50-64,2193,36385,17.53826569,188.4721454
case,APR 2021,202116,65-79,2000,12021,10.98885763,183.510888
case,APR 2021,202116,80+,902,3003,15.65218417,131.9367284
case,APR 2021,202117,12-17,24,24494,17.41641933,146.0859736
case,APR 2021,202117,18-29,943,49243,18.18249128,186.3937167
case,APR 2021,202117,30-49,2678,64986,19.36033819,193.4442677
case,APR 2021,202117,50-64,2313,30221,14.83273827,167.4723768
case,APR 2021,202117,65-79,1977,10223,10.21943088,165.9191675
case,APR 2021,202117,80+,971,2530,16.17514332,115.5623157
case,MAY 2021,202118,12-17,9,19421,3.843394486,116.9975493
case,MAY 2021,202118,18-29,852,38984,13.6592398,152.6395833
case,MAY 2021,202118,30-49,2257,53203,13.91730261,165.2772973
case,MAY 2021,202118,50-64,2050,25143,11.08826808,147.0088754
case,MAY 2021,202118,65-79,1713,8733,8.500404997,149.3032345
case,MAY 2021,202118,80+,893,2165,14.47859624,102.1865563
case,MAY 2021,202119,12-17,21,15132,5.324152129,93.30937497
case,MAY 2021,202119,18-29,773,31681,10.23106185,127.6633572
case,MAY 2021,202119,30-49,1933,43592,10.2487031,140.1358004
case,MAY 2021,202119,50-64,1819,20958,8.673248131,127.8112311
case,MAY 2021,202119,65-79,1626,7616,7.827802593,135.8945846
case,MAY 2021,202119,80+,761,2069,12.08946842,100.3537847
case,MAY 2021,202120,12-17,25,11017,3.826573564,73.83454909
case,MAY 2021,202120,18-29,707,23715,7.679073385,98.71206459
case,MAY 2021,202120,30-49,1916,32974,8.851447533,110.1614647
case,MAY 2021,202120,50-64,1691,15842,7.365937327,100.9130908
case,MAY 2021,202120,65-79,1458,5886,6.84865809,109.5520612
case,MAY 2021,202120,80+,693,1523,10.82526476,75.75433511
case,MAY 2021,202121,12-17,30,7158,3.237094513,50.54326954
case,MAY 2021,202121,18-29,635,17423,5.915935396,74.60066721
case,MAY 2021,202121,30-49,1616,24908,6.726861812,85.9538894
case,MAY 2021,202121,50-64,1454,11936,5.950729758,78.78735592
case,MAY 2021,202121,65-79,1178,4591,5.428109914,88.46073883
case,MAY 2021,202121,80+,598,1179,9.213201809,59.8565271
case,JUN 2021,202122,12-17,40,5364,3.423713668,39.14806398
case,JUN 2021,202122,18-29,603,13738,5.030876063,60.0132826
case,JUN 2021,202122,30-49,1557,19899,5.9908754,70.30856979
case,JUN 2021,202122,50-64,1324,9393,5.166398214,63.61883695
case,JUN 2021,202122,65-79,1122,3672,5.087727707,72.51870783
case,JUN 2021,202122,80+,509,936,7.748708029,48.19569926
case,JUN 2021,202123,12-17,43,4514,3.238202963,33.95181956
case,JUN 2021,202123,18-29,700,12674,5.432024001,56.39720972
case,JUN 2021,202123,30-49,1594,17974,5.817119117,64.91498535
case,JUN 2021,202123,50-64,1477,8496,5.57161865,58.90325141
case,JUN 2021,202123,65-79,1121,3280,5.020631391,66.28089837
case,JUN 2021,202123,80+,508,819,7.660542656,42.75494266
case,JUN 2021,202124,12-17,53,4318,3.071480894,33.25986073
case,JUN 2021,202124,18-29,764,12301,5.66150457,55.64648266
case,JUN 2021,202124,30-49,1817,16985,6.412709942,62.53650571
case,JUN 2021,202124,50-64,1517,8058,5.599483799,57.00650884
case,JUN 2021,202124,65-79,1203,2943,5.341600218,60.64050967
case,JUN 2021,202124,80+,531,756,7.95469509,39.93513182
case,JUN 2021,202125,12-17,101,4913,3.426271223,38.86898147
case,JUN 2021,202125,18-29,1065,13782,7.553557917,63.29896457
case,JUN 2021,202125,30-49,2555,18783,8.743759591,70.38487784
case,JUN 2021,202125,50-64,1920,8488,6.952811558,61.19692917
case,JUN 2021,202125,65-79,1534,3203,6.758826095,67.22775289
case,JUN 2021,202125,80+,566,790,8.428564196,42.19134362
case,JUN 2021,202126,12-17,157,6880,4.173084667,55.76579404
case,JUN 2021,202126,18-29,1838,18147,12.51991999,84.56761886
case,JUN 2021,202126,30-49,4208,24808,14.00126976,94.53455886
case,JUN 2021,202126,50-64,2842,10324,10.11801407,75.76166191
case,JUN 2021,202126,65-79,1972,3858,8.629375541,82.36485951
case,JUN 2021,202126,80+,759,932,11.24463102,50.2602261
case,JUL 2021,202127,12-17,246,9582,5.851006266,79.10907756
case,JUL 2021,202127,18-29,3447,29076,22.83099579,137.1730334
case,JUL 2021,202127,30-49,7091,37324,23.13580502,144.2459939
case,JUL 2021,202127,50-64,4713,15264,16.57695251,113.7008987
case,JUL 2021,202127,65-79,3239,5503,14.10292242,119.2220397
case,JUL 2021,202127,80+,1040,1223,15.35016154,66.51008066
case,JUL 2021,202128,12-17,516,15458,11.31974145,130.4473455
case,JUL 2021,202128,18-29,6201,47207,40.19211325,225.7078933
case,JUL 2021,202128,30-49,13279,60050,42.66964897,235.605005
case,JUL 2021,202128,50-64,8774,24105,30.57481737,182.4740437
case,JUL 2021,202128,65-79,5767,8173,25.01293911,179.8728469
case,JUL 2021,202128,80+,1927,1824,28.35756848,100.0884004
case,JUL 2021,202129,12-17,952,25649,19.72931054,222.1062433
case,JUL 2021,202129,18-29,10758,74427,68.50332586,361.2243276
case,JUL 2021,202129,30-49,22751,97561,72.21142678,389.7349594
case,JUL 2021,202129,50-64,15882,39102,54.93021127,302.0869587
case,JUL 2021,202129,65-79,10530,13316,45.52155249,298.9498835
case,JUL 2021,202129,80+,3389,2926,49.74883371,162.290121
case,JUL 2021,202130,12-17,1638,37968,32.22280714,339.5109944
case,JUL 2021,202130,18-29,16527,108708,103.3656279,538.3298019
case,JUL 2021,202130,30-49,33944,140533,106.4212849,575.7213969
case,JUL 2021,202130,50-64,24009,57087,82.42196227,453.4987972
case,JUL 2021,202130,65-79,16752,19768,72.18161121,455.7012951
case,JUL 2021,202130,80+,5248,4570,76.84246577,256.82367
case,AUG 2021,202131,12-17,2449,46937,46.05904585,436.2936613
case,AUG 2021,202131,18-29,20565,127704,126.5654512,647.3134949
case,AUG 2021,202131,30-49,43505,168809,134.8829301,712.2832478
case,AUG 2021,202131,50-64,32212,71470,109.8074572,585.9292217
case,AUG 2021,202131,65-79,22540,25434,96.81963396,603.4283313
case,AUG 2021,202131,80+,7087,5772,103.5216194,329.0917819
case,AUG 2021,202132,12-17,3010,59534,54.52431341,576.4555469
case,AUG 2021,202132,18-29,21359,135314,129.5009209,703.0213907
case,AUG 2021,202132,30-49,48829,184587,149.8160183,803.8608594
case,AUG 2021,202132,50-64,36885,80453,124.8987917,680.9290522
case,AUG 2021,202132,65-79,26037,29232,111.5100782,713.6094255
case,AUG 2021,202132,80+,8468,6828,123.4231411,394.9217733
case,AUG 2021,202133,12-17,3951,80009,68.7004026,802.8696149
case,AUG 2021,202133,18-29,22037,133591,131.6574948,711.258138
case,AUG 2021,202133,30-49,51651,186938,156.835579,839.8176856
case,AUG 2021,202133,50-64,39041,82417,131.3122218,719.1505094
case,AUG 2021,202133,65-79,28099,31107,119.9842093,783.005417
case,AUG 2021,202133,80+,8994,7468,130.8024499,438.9091685
case,AUG 2021,202134,12-17,5080,95693,84.25077675,993.1253471
case,AUG 2021,202134,18-29,23619,130242,138.8574931,710.6943728
case,AUG 2021,202134,30-49,53573,185192,160.7478253,858.2433151
case,AUG 2021,202134,50-64,39926,80015,133.2517122,719.5539817
case,AUG 2021,202134,65-79,28528,30515,121.4041448,791.8227634
case,AUG 2021,202134,80+,9157,7083,132.847382,423.0406968
case,SEP 2021,202135,12-17,5251,87967,82.4916338,942.6311633
case,SEP 2021,202135,18-29,23691,119028,136.6118958,665.5056046
case,SEP 2021,202135,30-49,51195,171432,151.2578645,818.925436
case,SEP 2021,202135,50-64,38166,74444,126.1093632,689.4843085
case,SEP 2021,202135,65-79,27614,29145,116.9836696,779.6492525
case,SEP 2021,202135,80+,8840,7038,127.8355745,426.9879694
case,SEP 2021,202136,12-17,4618,67943,68.37037913,745.889746
case,SEP 2021,202136,18-29,21984,104478,123.9825398,595.6965687
case,SEP 2021,202136,30-49,47245,150910,137.0446456,738.5212457
case,SEP 2021,202136,50-64,35367,66923,115.5186109,634.1411922
case,SEP 2021,202136,65-79,25172,26190,106.0833477,717.1963881
case,SEP 2021,202136,80+,8211,6391,118.3022226,392.3759589
case,SEP 2021,202137,12-17,4418,55855,61.75035274,628.6888548
case,SEP 2021,202137,18-29,19556,89285,107.7935877,520.4905139
case,SEP 2021,202137,30-49,43481,128918,123.7473924,648.6073768
case,SEP 2021,202137,50-64,32977,58431,106.4666762,567.8795412
case,SEP 2021,202137,65-79,24024,23904,100.722021,671.2716904
case,SEP 2021,202137,80+,7759,5899,111.3766057,366.7923299
case,SEP 2021,202138,12-17,4010,45974,53.69970908,527.87408
case,SEP 2021,202138,18-29,15937,71383,86.15879059,423.8659139
case,SEP 2021,202138,30-49,39054,105381,109.3939652,542.458478
case,SEP 2021,202138,50-64,29280,48103,93.65246734,477.2360214
case,SEP 2021,202138,65-79,21412,20092,89.40522937,575.727699
case,SEP 2021,202138,80+,6964,5045,99.66545381,317.5308499
case,SEP 2021,202139,12-17,3797,38175,48.955521,445.5562894
case,SEP 2021,202139,18-29,14611,59402,77.3055817,358.611948
case,SEP 2021,202139,30-49,37624,89969,103.5404653,473.074545
case,SEP 2021,202139,50-64,27948,41966,88.49201663,424.6225639
case,SEP 2021,202139,65-79,20448,17994,85.01199208,537.4532306
case,SEP 2021,202139,80+,6535,4520,93.23677418,292.1651897
case,OCT 2021,202140,12-17,3523,31555,44.04268052,373.5723628
case,OCT 2021,202140,18-29,13579,51852,70.43378581,317.7024839
case,OCT 2021,202140,30-49,35593,79193,96.41624295,424.4005134
case,OCT 2021,202140,50-64,26414,37558,82.8782128,386.9202455
case,OCT 2021,202140,65-79,19157,16234,79.3266084,503.0258941
case,OCT 2021,202140,80+,6221,4133,88.5068436,274.0201938
case,OCT 2021,202141,12-17,3092,26091,37.77616644,312.7005614
case,OCT 2021,202141,18-29,12435,43896,63.47169175,272.5780552
case,OCT 2021,202141,30-49,32199,67929,86.12437811,370.287877
case,OCT 2021,202141,50-64,24222,32921,75.44346395,344.8359659
case,OCT 2021,202141,65-79,17019,14674,70.15874051,468.7175663
case,OCT 2021,202141,80+,5621,3924,79.68652758,266.1037167
case,OCT 2021,202142,12-17,3145,22707,37.68894053,275.1162462
case,OCT 2021,202142,18-29,11687,40618,58.80687705,255.3451456
case,OCT 2021,202142,30-49,31280,62464,82.72277902,345.8770426
case,OCT 2021,202142,50-64,23668,29989,73.23403193,319.2388088
case,OCT 2021,202142,65-79,15652,13547,64.26100353,441.9257255
case,OCT 2021,202142,80+,5253,3645,74.21511476,252.5583223
case,OCT 2021,202143,12-17,3183,22739,37.55646301,278.1709055
case,OCT 2021,202143,18-29,12891,41804,64.07213376,265.9732174
case,OCT 2021,202143,30-49,33020,62180,86.49421627,350.1541343
case,OCT 2021,202143,50-64,24403,30129,75.08671295,327.4037919
case,OCT 2021,202143,65-79,15406,13032,63.03950648,441.2845987
case,OCT 2021,202143,80+,5326,3672,75.01928303,265.0630066
case,NOV 2021,202144,12-17,3810,23970,44.3794943,296.1650518
case,NOV 2021,202144,18-29,16800,43894,82.61407861,282.6662614
case,NOV 2021,202144,30-49,37483,63526,97.36268253,364.0033539
case,NOV 2021,202144,50-64,25870,30293,79.20939289,336.3902691
case,NOV 2021,202144,65-79,15071,12905,61.481803,449.6686146
case,NOV 2021,202144,80+,5195,3463,72.96272483,257.7309901
case,NOV 2021,202145,12-17,4223,25852,48.65553792,323.4064209
case,NOV 2021,202145,18-29,17506,46794,85.29358098,304.8673624
case,NOV 2021,202145,30-49,42122,69520,108.5855654,405.0144895
case,NOV 2021,202145,50-64,29273,33628,89.20310572,381.227742
case,NOV 2021,202145,65-79,15584,13984,63.29805678,500.0827511
case,NOV 2021,202145,80+,5522,3796,77.22051996,290.3521621
case,NOV 2021,202146,12-17,4734,27027,54.02716971,342.6518006
case,NOV 2021,202146,18-29,18810,48618,90.86998664,320.7280655
case,NOV 2021,202146,30-49,46054,74899,117.880544,444.3241372
case,NOV 2021,202146,50-64,32528,37412,98.66710532,434.2422257
case,NOV 2021,202146,65-79,16817,15843,68.02873239,582.020258
case,NOV 2021,202146,80+,5545,4378,77.22379819,343.4841073
case,NOV 2021,202147,12-17,3858,19570,43.67716439,250.7750384
case,NOV 2021,202147,18-29,16958,42052,81.30127684,281.0171549
case,NOV 2021,202147,30-49,42274,66468,107.524371,401.4378757
case,NOV 2021,202147,50-64,29661,34081,89.60593508,405.5679707
case,NOV 2021,202147,65-79,15074,15062,60.77745444,564.7738456
case,NOV 2021,202147,80+,5112,4278,70.9468096,342.2452295
case,DEC 2021,202148,12-17,6977,33535,78.39992683,434.0873306
case,DEC 2021,202148,18-29,28705,68018,136.6420724,460.3036645
case,DEC 2021,202148,30-49,62471,98086,157.9548035,603.3079526
case,DEC 2021,202148,50-64,43464,48706,130.7770626,594.3535099
case,DEC 2021,202148,65-79,21013,20363,84.46193736,782.0810908
case,DEC 2021,202148,80+,6611,5392,91.44602713,439.8473293
case,DEC 2021,202149,5-11,31,44393,34.48314219,264.4256986
case,DEC 2021,202149,12-17,7017,31301,78.32335121,409.2295173
case,DEC 2021,202149,18-29,27597,60959,130.5373112,418.8543623
case,DEC 2021,202149,30-49,56370,89119,141.7860311,560.2223816
case,DEC 2021,202149,50-64,38817,45687,116.3671505,573.8936751
case,DEC 2021,202149,65-79,17800,19416,71.37793348,763.3095018
case,DEC 2021,202149,80+,5654,5192,78.01741386,432.0589398
case,DEC 2021,202150,5-11,665,52532,77.86155864,320.577875
case,DEC 2021,202150,12-17,15499,38132,171.2689984,503.9595024
case,DEC 2021,202150,18-29,72755,93835,342.0824246,654.9111391
case,DEC 2021,202150,30-49,106942,118303,267.6519598,758.6116105
case,DEC 2021,202150,50-64,54557,50556,162.9699148,651.2075378
case,DEC 2021,202150,65-79,21749,19770,87.01468693,793.2039792
case,DEC 2021,202150,80+,5772,5051,79.47420352,427.5950239
case,DEC 2021,202151,5-11,4047,68750,224.1628374,429.6239694
case,DEC 2021,202151,12-17,41488,55078,453.3766661,737.1270434
case,DEC 2021,202151,18-29,166767,177821,778.8016075,1264.990105
case,DEC 2021,202151,30-49,244568,212697,608.648625,1393.156642
case,DEC 2021,202151,50-64,121792,79717,362.3197891,1054.720424
case,DEC 2021,202151,65-79,42967,27955,171.4700311,1144.535674
case,DEC 2021,202151,80+,9751,7195,133.9403943,619.2742416
case,DEC 2021,202152,5-11,15640,137434,646.2310557,875.4480625
case,DEC 2021,202152,12-17,87382,99241,946.5733432,1343.106895
case,DEC 2021,202152,18-29,326999,367816,1517.393442,2658.634922
case,DEC 2021,202152,30-49,532822,457369,1319.111254,3050.361453
case,DEC 2021,202152,50-64,313578,188162,929.8189208,2537.832177
case,DEC 2021,202152,65-79,124913,65163,497.0104669,2724.798945
case,DEC 2021,202152,80+,30993,16780,423.5800985,1489.705804
case,JAN 2022,202201,5-11,35857,268962,1308.072937,1748.949344
case,JAN 2022,202201,12-17,167737,178593,1803.778432,2452.754135
case,JAN 2022,202201,18-29,445730,473192,2056.516011,3478.172409
case,JAN 2022,202201,30-49,696702,587396,1717.567823,3991.947275
case,JAN 2022,202201,50-64,417613,257555,1234.529289,3545.4798
case,JAN 2022,202201,65-79,169982,90918,675.1355181,3860.03835
case,JAN 2022,202201,80+,44849,25873,611.9515646,2322.748472
case,JAN 2022,202202,5-11,41753,283358,1382.508926,1881.543591
case,JAN 2022,202202,12-17,164085,199112,1752.557301,2779.911568
case,JAN 2022,202202,18-29,317043,363499,1455.383311,2721.654267
case,JAN 2022,202202,30-49,566892,493903,1392.442265,3426.532033
case,JAN 2022,202202,50-64,349406,225211,1030.301399,3161.83773
case,JAN 2022,202202,65-79,157722,85062,625.6305835,3660.765926
case,JAN 2022,202202,80+,43673,25534,595.2409347,2316.553382
case,JAN 2022,202203,5-11,38416,212422,1155.194708,1436.507533
case,JAN 2022,202203,12-17,113306,141459,1199.866529,2007.438901
case,JAN 2022,202203,18-29,218041,257778,995.3212265,1959.622553
case,JAN 2022,202203,30-49,430562,374932,1053.354651,2643.801836
case,JAN 2022,202203,50-64,261734,174169,769.7572518,2480.510551
case,JAN 2022,202203,65-79,129649,70905,513.5796681,3084.648578
case,JAN 2022,202203,80+,37842,22273,515.1827945,2037.558572
case,JAN 2022,202204,5-11,27325,132691,750.4728047,910.1681943
case,JAN 2022,202204,12-17,62344,81978,653.8153456,1178.649222
case,JAN 2022,202204,18-29,129289,163148,586.8099942,1256.814634
case,JAN 2022,202204,30-49,261947,239597,638.2439419,1713.300217
case,JAN 2022,202204,50-64,168739,121278,494.9649035,1748.305568
case,JAN 2022,202204,65-79,94203,54971,372.6691607,2414.611627
case,JAN 2022,202204,80+,28523,17766,387.8673916,1637.049774
case,FEB 2022,202205,5-11,16688,69169,428.8187365,479.3008606
case,FEB 2022,202205,12-17,31379,41393,326.1937455,601.1264168
case,FEB 2022,202205,18-29,67911,85671,306.7104651,666.9393454
case,FEB 2022,202205,30-49,140566,127193,341.3192046,919.533632
case,FEB 2022,202205,50-64,93138,68251,272.6125061,992.3126051
case,FEB 2022,202205,65-79,58176,34177,229.8995229,1511.163384
case,FEB 2022,202205,80+,19310,11878,262.3414251,1100.212165
case,FEB 2022,202206,5-11,10483,36693,251.6378182,256.8253329
case,FEB 2022,202206,12-17,17381,22019,179.0470547,322.8913373
case,FEB 2022,202206,18-29,40088,48759,180.1574508,383.0745458
case,FEB 2022,202206,30-49,81993,71418,198.4184938,521.484378
case,FEB 2022,202206,50-64,55775,40119,162.9214927,587.5312538
case,FEB 2022,202206,65-79,37818,22680,149.3033358,1009.122593
case,FEB 2022,202206,80+,13463,7931,182.7568138,738.156811
case,FEB 2022,202207,5-11,6151,18455,138.9651065,130.0607589
case,FEB 2022,202207,12-17,9782,11567,99.89939594,170.79471
case,FEB 2022,202207,18-29,24368,29153,108.9615218,230.7596531
case,FEB 2022,202207,30-49,46904,39757,113.1242591,292.6218259
case,FEB 2022,202207,50-64,32418,22765,94.51702973,335.1894915
case,FEB 2022,202207,65-79,23156,13482,91.34108631,602.4890547
case,FEB 2022,202207,80+,8676,4945,117.6893655,461.9915273
case,FEB 2022,202208,5-11,3281,9154,70.45448836,64.95006175
case,FEB 2022,202208,12-17,4814,5866,48.77131047,87.18402294
case,FEB 2022,202208,18-29,15201,17539,67.64342388,139.7423877
case,FEB 2022,202208,30-49,28160,23480,67.70335994,174.0227877
case,FEB 2022,202208,50-64,19733,13455,57.43451743,199.0539
case,FEB 2022,202208,65-79,14900,8259,58.72852345,370.4840444
case,FEB 2022,202208,80+,5836,3331,79.11252985,312.1632279
case,MAR 2022,202209,5-11,2859,6222,59.16478936,44.38746159
case,MAR 2022,202209,12-17,3795,4151,38.20189951,62.03753009
case,MAR 2022,202209,18-29,11412,11786,50.56998694,94.46160532
case,MAR 2022,202209,30-49,19941,15401,47.81527636,114.8124126
case,MAR 2022,202209,50-64,14099,9260,40.97885251,137.5507094
case,MAR 2022,202209,65-79,10662,5807,41.99646069,261.3616243
case,MAR 2022,202209,80+,4125,2193,55.88507049,206.1208493
case,MAR 2022,202210,5-11,2249,4407,45.25735518,31.57069019
case,MAR 2022,202210,12-17,2773,2867,27.76615709,43.03019633
case,MAR 2022,202210,18-29,8713,8229,38.47631836,66.26605859
case,MAR 2022,202210,30-49,15159,10743,36.27055523,80.45681196
case,MAR 2022,202210,50-64,10248,6250,29.75199586,93.13373825
case,MAR 2022,202210,65-79,7701,3785,30.31678656,170.7903936
case,MAR 2022,202210,80+,2913,1484,39.44578737,139.7854491
case,MAR 2022,202211,5-11,2204,3947,43.40311967,28.38023562
